Running Date,26/4/2022 9:18:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSCount,Track,Location [km+m],Latitude,Longitude,Ajonopeus [Km/h],Rail Profile.Vasen Pystysuora Kuluma [mm],Rail Profile.Oikea Pystysuora Kuluma [mm],Rail Profile.Vasen Pystysuora Kuluman Keskiarvo [mm],Rail Profile.Oikea Pystysuora Kuluman Keskiarvo [mm],Rail Profile.Vasen Pystysuora Kuluman Keskihajonta [mm],Rail Profile.Oikea Pystysuora Kuluman Keskihajonta [mm],Rail Profile.Vasen Sisäpuolinen Sivuttaiskuluma [mm],Rail Profile.Oikea Sisäpuolinen Sivuttaiskuluma [mm],Rail Profile.Vasen Sisäpuolisen Sivuttaiskuluman Keskiarvo [mm],Rail Profile.Oikea Sisäpuolisen Sivuttaiskuluman Keskiarvo [mm],Rail Profile.Vasen Sisäpuolisen Sivuttaiskuluman Keskihajonta [mm],Rail Profile.Oikea Sisäpuolisen Sivuttaiskuluman Keskihajonta [mm],Rail Profile.Vasen Ulkoinen Sivuttaiskuluma [mm],Rail Profile.Oikea Ulkoinen Sivuttaiskuluma [mm],Rail Profile.Vasen Ulkoisen Sivuttaiskuluman Keskiarvo [mm],Rail Profile.Oikea Ulkoisen Sivuttaiskuluman Keskiarvo [mm],Rail Profile.Vasen Ulkoisen Sivuttaiskuluman Keskihajonta [mm],Rail Profile.Oikea Ulkoisen Sivuttaiskuluman Keskihajonta [mm],Rail Profile.Vasen Kallistus [°],Rail Profile.Oikea Kallistus [°],Rail Profile.Vasen Kallistuksen Keskiarvo [°],Rail Profile.Oikea Kallistuksen Keskiarvo [°],Rail Profile.Vasen Kallistuksen Keskihajonta [°],Rail Profile.Oikea Kallistuksen Keskihajonta [°],Rail Profile.Vasen 45° Kuluma [mm],Rail Profile.Oikea 45° Kuluma [mm],Rail Profile.Vasen 45° Kuluman Keskiarvo [mm],Rail Profile.Oikea 45° Kuluman Keskiarvo [mm],Rail Profile.Vasen 45° Kuluman Keskihajonta [mm],Rail Profile.Oikea 45° Kuluman Keskihajonta [mm],Rail Profile.Vasen Yhdistetty Kuluma [mm],Rail Profile.Oikea Yhdistetty Kuluma [mm],Rail Profile.Vasen Yhdistetyn Kuluman Keskiarvo [mm],Rail Profile.Oikea Yhdistetyn Kuluman Keskiarvo [mm],Rail Profile.Vasen Yhdistetyn Kuluman Keskihajonta [mm],Rail Profile.Oikea Yhdistetyn Kuluman Keskihajonta [mm],Rail Profile.Vasen Poikkileikkauspinta-Ala [mm^2],Rail Profile.Oikea Poikkileikkauspinta-Ala [mm^2],Rail Profile.Vasen Poikkileikkauspinta-Alan Keskiarvo [mm^2],Rail Profile.Oikea Poikkileikkauspinta-Alan Keskiarvo [mm^2],Rail Profile.Vasen Poikkileikkauspinta-Alan Keskihajonta [mm^2],Rail Profile.Oikea Poikkileikkauspinta-Alan Keskihajonta [mm^2],Rail Profile.Vasen Sisäpuolinen Purse [mm],Rail Profile.Oikea Sisäpuolinen Purse [mm],Rail Profile.Vasen Sisäpuolisen Purseen Keskiarvo [mm],Rail Profile.Oikea Sisäpuolisen Purseen Keskiarvo [mm],Rail Profile.Vasen Sisäpuolisen Purseen Keskihajonta [mm],Rail Profile.Oikea Sisäpuolisen Purseen Keskihajonta [mm],Rail Profile.Vasen Ulkopuolinen Purse [mm],Rail Profile.Oikea Ulkopuolinen Purse [mm],Rail Profile.Vasen Ulkopuolisen Purseen Keskiarvo [mm],Rail Profile.Oikea Ulkopuolisen Purseen Keskiarvo [mm],Rail Profile.Vasen Ulkopuolisen Purseen Keskihajonta [mm],Rail Profile.Oikea Ulkopuolisen Purseen Keskihajonta [mm],Rail Profile.Tehollinen Kartiokkuus,Rail Profile.Tehollisen Kartiokkuuden Keskiarvo,Rail Profile.Tehollisen Kartiokkuuden Keskihajonta,Rail Profile.Vasen Kiskon Kallistuksen Kiinteä Keskiarvo [°],Rail Profile.Oikea Kiskon Kallistuksen Kiinteä Keskiarvo [°],Rail Profile.Vasen Kiskon Kallistuksen Kiinteä Keskihajonta [°],Rail Profile.Oikea Kiskon Kallistuksen Kiinteä Keskihajonta [°],Rail Profile.Vasen Pystysuoran Kuluman Kiinteä Keskiarvo [mm],Rail Profile.Oikea Pystysuoran Kuluman Kiinteä Keskiarvo [mm],Rail Profile.Vasen Pystysuoran Kuluman Kiinteä Keskihajonta [mm],Rail Profile.Oikea Pystysuoran Kuluman Kiinteä Keskihajonta [mm],Rail Profile.Vasen Sisäpuolisen Sivuttaisk Kiinteä Keskiarvo [mm],Rail Profile.Oikea Sisäpuolisen Sivuttaisk Kiinteä Keskiarvo [mm],Rail Profile.Vasen Sisäpuolisen Sivuttaisk Kiinteä Keskihajonta [mm],Rail Profile.Oikea Sisäpuolisen Sivuttaisk Kiinteä Keskihajonta [mm],Rail Profile.Vasen Ulkopuolisen Sivuttaisk Kiinteä Keskiarvo [mm],Rail Profile.Oikea Ulkopuolisen Sivuttaisk Kiinteä Keskiarvo [mm],Rail Profile.Vasen Ulkopuolisen Sivuttaisk Kiinteä Keskihajonta [mm],Rail Profile.Oikea Ulkopuolisen Sivuttaisk Kiinteä Keskihajonta [mm],Rail Profile.Vasen 45° Kuluman Kiinteä Keskiarvo [mm],Rail Profile.Oikea 45° Kuluman Kiinteä Keskiarvo [mm],Rail Profile.Vasen 45° Kuluman Kiinteä Keskihajonta [mm],Rail Profile.Oikea 45° Kuluman Kiinteä Keskihajonta [mm],Rail Profile.Vasen Yhdistetyn Kuluman Kiinteä Keskiarvo [mm],Rail Profile.Oikea Yhdistetyn Kuluman Kiinteä Keskiarvo [mm],Rail Profile.Vasen Yhdistetyn Kuluman Kiinteä Keskihajonta [mm],Rail Profile.Oikea Yhdistetyn Kuluman Kiinteä Keskihajonta [mm],Rail Profile.Vasen Poikkileikkauspinta-Alan Kiinteä Keskiarvo [mm^2],Rail Profile.Oikea Poikkileikkauspinta-Alan Kiinteä Keskiarvo [mm^2],Rail Profile.Vasen Poikkileikkauspint-Alan Kiinteä Keskihajonta [mm^2],Rail Profile.Oikea Poikkileikkauspint-Alan Kiinteä Keskihajonta [mm^2],Rail Profile.Vasen Sisäpuolisen Purseen Kiinteä Keskiarvo [mm],Rail Profile.Oikea Sisäpuolisen Purseen Kiinteä Keskiarvo [mm],Rail Profile.Vasen Sisäpuolisen Purseen Kiinteä Keskihajonta [mm],Rail Profile.Oikea Sisäpuolisen Purseen Kiinteä Keskihajonta [mm],Rail Profile.Vasen Ulkopuolisen Purseen Kiinteä Keskiarvo [mm],Rail Profile.Oikea Ulkopuolisen Purseen Kiinteä Keskiarvo [mm],Rail Profile.Vasen Ulkopulisen Purseen Kiinteä Keskihajonta [mm],Rail Profile.Oikea Ulkopuolisen Purseen Kiinteä Keskihajonta [mm],Rail Profile.Tehollisen Kartiokkuuden Kiinteä Keskiarvo,Rail Profile.Tehollisen Kartiokkuuden Kiinteä Keskihajonta,Rail Profile.Vasen Poikkipinta-Alan Poikkeama [mm^2],Rail Profile.Oikea Poikkipinta-Alan Poikkeama [mm^2],Rail Profile.Ajonopeus [Km/h]
486837,003 LLHSK 1,193+0000.00,61.50928969° N,23.68865865° E,81.975,1.16,0.907,1.045,0.958,0.058,0.07,0.076,0.099,0.446,0.015,0.141,0.123,-0.183,0.265,-0.314,0.352,0.059,0.069,1.135,1.442,1.267,1.465,0.058,0.057,1.143,0.824,1.3,0.796,0.112,0.095,1.107,1.089,1.11,1.141,0.078,0.06,2417.426,2417.72,2417.544,2417.613,0.223,0.162,0,0,0,0,0,0.001,0.002,0,0.003,0.001,0.002,0.002,0.085,0.051,0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8315,2.5365,81.97
486838,003 LLHSK 1,193+0000.25,61.50929033° N,23.68865417° E,82.007,1.155,0.919,1.045,0.958,0.058,0.07,0.087,0.13,0.446,0.014,0.141,0.123,-0.164,0.233,-0.314,0.352,0.059,0.069,1.138,1.444,1.266,1.464,0.058,0.057,1.159,0.855,1.3,0.796,0.112,0.095,1.117,1.101,1.109,1.141,0.078,0.06,2417.396,2417.703,2417.544,2417.615,0.223,0.163,0,0,0,0,0,0.001,0.002,0,0.003,0.001,0.002,0.002,0.067,0.0927,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8613,2.554,82.01
486839,003 LLHSK 1,193+0000.50,61.50929097° N,23.68864970° E,81.985,1.146,0.926,1.044,0.957,0.058,0.07,0.187,0.133,0.446,0.014,0.141,0.123,-0.211,0.243,-0.314,0.352,0.059,0.068,1.172,1.435,1.266,1.464,0.058,0.057,1.214,0.875,1.3,0.795,0.112,0.095,1.134,1.114,1.109,1.141,0.078,0.06,2417.376,2417.685,2417.545,2417.615,0.224,0.165,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0644,0.085,0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8807,2.5721,81.99
486840,003 LLHSK 1,193+0000.75,61.50929161° N,23.68864522° E,82.009,1.135,0.944,1.044,0.957,0.059,0.07,0.287,0.12,0.446,0.013,0.141,0.123,-0.244,0.24,-0.314,0.353,0.059,0.068,1.203,1.416,1.266,1.464,0.058,0.057,1.271,0.901,1.3,0.795,0.112,0.096,1.156,1.124,1.109,1.14,0.078,0.06,2417.339,2417.665,2417.545,2417.616,0.224,0.166,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0407,0.067,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9181,2.5924,82.01
486841,003 LLHSK 1,193+0001.00,61.50929225° N,23.68864074° E,82.04,1.179,0.991,1.044,0.957,0.059,0.07,0.43,0.145,0.446,0.013,0.141,0.122,-0.307,0.246,-0.314,0.353,0.06,0.067,1.268,1.436,1.266,1.464,0.057,0.057,1.37,0.955,1.3,0.795,0.112,0.096,1.241,1.186,1.109,1.14,0.078,0.06,2417.134,2417.493,2417.547,2417.617,0.224,0.167,0,0,0,0,0,0.001,0,0,0.003,0.001,0.002,0.002,0.0272,0.0644,0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.123,2.764,82.04
486842,003 LLHSK 1,193+0001.25,61.50929289° N,23.68863624° E,82.045,1.152,1.022,1.043,0.958,0.059,0.07,0.461,0.166,0.446,0.012,0.141,0.122,-0.314,0.248,-0.313,0.353,0.06,0.067,1.262,1.436,1.265,1.463,0.057,0.057,1.382,0.988,1.299,0.794,0.112,0.096,1.225,1.229,1.109,1.14,0.078,0.06,2417.179,2417.406,2417.548,2417.618,0.223,0.168,0,0,0,0,0,0.001,0,0,0.003,0.001,0.002,0.002,0.0385,0.0407,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0775,2.8507,82.04
486843,003 LLHSK 1,193+0001.50,61.50929353° N,23.68863175° E,82.054,1.169,1.036,1.043,0.958,0.06,0.07,0.477,0.163,0.445,0.012,0.141,0.121,-0.336,0.253,-0.313,0.353,0.06,0.067,1.25,1.433,1.265,1.463,0.057,0.056,1.406,0.995,1.299,0.794,0.112,0.096,1.24,1.244,1.108,1.14,0.078,0.06,2417.146,2417.367,2417.55,2417.619,0.222,0.169,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0655,0.0272,0.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1111,2.8896,82.05
486844,003 LLHSK 1,193+0001.75,61.50929417° N,23.68862726° E,82.045,1.166,1.026,1.042,0.958,0.06,0.07,0.513,0.142,0.445,0.011,0.14,0.121,-0.368,0.276,-0.313,0.353,0.061,0.067,1.243,1.427,1.264,1.463,0.056,0.056,1.424,0.965,1.298,0.793,0.112,0.096,1.239,1.235,1.108,1.14,0.078,0.061,2417.162,2417.36,2417.552,2417.62,0.22,0.17,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0822,0.0385,0.0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0953,2.897,82.05
486845,003 LLHSK 1,193+0002.00,61.50929481° N,23.68862276° E,82.045,1.165,1.043,1.042,0.958,0.06,0.07,0.529,0.104,0.445,0.01,0.139,0.12,-0.389,0.281,-0.312,0.354,0.061,0.067,1.235,1.419,1.264,1.463,0.056,0.056,1.428,0.944,1.298,0.792,0.111,0.097,1.235,1.236,1.108,1.14,0.077,0.061,2417.163,2417.324,2417.553,2417.621,0.218,0.171,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0534,0.0655,0.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0941,2.9329,82.05
486846,003 LLHSK 1,193+0002.25,61.50929545° N,23.68861827° E,82.058,1.153,1.045,1.042,0.958,0.06,0.07,0.544,0.107,0.444,0.009,0.139,0.12,-0.39,0.27,-0.312,0.354,0.061,0.067,1.233,1.428,1.263,1.462,0.056,0.056,1.423,0.937,1.297,0.791,0.11,0.097,1.229,1.233,1.107,1.139,0.077,0.061,2417.191,2417.323,2417.554,2417.622,0.217,0.172,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0804,0.0822,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0656,2.9345,82.06
486847,003 LLHSK 1,193+0002.50,61.50929609° N,23.68861377° E,82.057,1.152,1.061,1.041,0.958,0.06,0.07,0.566,0.049,0.444,0.008,0.138,0.12,-0.399,0.288,-0.312,0.354,0.061,0.067,1.236,1.416,1.263,1.462,0.056,0.056,1.426,0.921,1.297,0.79,0.109,0.099,1.236,1.229,1.107,1.139,0.076,0.062,2417.192,2417.296,2417.555,2417.624,0.215,0.174,0,0,0,0,0,0.001,0.001,0,0.003,0.001,0.002,0.002,0.0772,0.0534,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0655,2.9609,82.06
